id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14157479,House near the Beach,85590996,Olivera And David,,Pittwater,-33.68795531750557,151.30311099583682,Entire home/apt,499,10,0,,,1,117
14221811,The Bilgola Beach House - NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.643611726462076,151.32774891608224,Entire home/apt,1332,3,1,2017-03-04,1,34,351
10191224,Newport Views,43987097,Linda,,Pittwater,-33.6612203255655,151.31866817733328,Entire home/apt,121,6,2,2017-03-18,0.29,1,332
16124062,3 Bedroom Apartment in the Heart of Newport Beach,80138377,Nick,,Pittwater,-33.65366737014704,151.32185508405334,Entire home/apt,210,2,8,2017-03-09,2.22,1,160
2099368,Beachfront - The Beach Flat,10707598,Janelle,,Pittwater,-33.664184424528145,151.32108906926726,Entire home/apt,220,2,94,2017-03-13,2.42,1,332
16517361,Avalon Beach Studio - Best Value in beautiful area,36238240,Tim,,Pittwater,-33.62795583426975,151.31635988825573,Entire home/apt,100,6,2,2017-03-31,0.81,1,122
10553708,Claireville Beach House,49039691,Katie,,Pittwater,-33.639225757710726,151.31075322990606,Entire home/apt,551,7,2,2016-04-29,0.17,1,0
7421951,Large comfortable home ocean view,13689928,Catherine,,Pittwater,-33.617158825119,151.3355338526315,Entire home/apt,650,5,1,2016-01-15,0.07,1,0
15314015,Newly built & fully furnished 3 story guest quarters,34886878,Guy,,Pittwater,-33.63731863216395,151.31343600296438,Entire home/apt,176,1,34,2017-03-23,5.93,1,337
16591989,Luxury modern spacious retreat close to beaches,109301746,Melissa,,Pittwater,-33.70362511681012,151.29023426140412,Entire home/apt,1100,3,0,,,1,358
12258063,Serpentine - Bilgola NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.64419703512499,151.32897980810384,Entire home/apt,901,2,0,,,34,350
15862554,Playfair House,41374633,David,,Pittwater,-33.60441486848391,151.32388421293265,Private room,180,2,5,2017-03-03,1.16,1,181
10464404,Walk to beach Book Now  Professionally Hosted,43218877,Sue,,Pittwater,-33.69692356047991,151.30908311268126,Entire home/apt,350,4,1,2017-01-15,0.38,11,302
9177970,Tropical Pittwater Getaway,37448420,Helen,,Pittwater,-33.647092964249204,151.3074251189164,Entire home/apt,700,2,16,2017-03-31,1.05,1,352
12258251,Clifftop Cottage - Avalon NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.626133940013766,151.3395483365285,Entire home/apt,1000,7,0,,,34,365
16976870,Your Home on Holidays,69586370,Maree-Louise,,Pittwater,-33.681467124758186,151.3035157275997,Entire home/apt,201,5,0,,,1,102
5377028,The Pacifico,23047249,Libby,,Pittwater,-33.65018614732034,151.30642586313766,Private room,180,2,5,2016-12-29,0.19,1,365
16059408,Family entertainer with golf course views,11714119,Nathan,,Pittwater,-33.671673132856654,151.2916722779296,Entire home/apt,300,3,1,2017-01-21,0.41,1,363
12258548,Tassie - Avalon NBH,30021442,Northern Beaches Holidays,,Pittwater,-33.63156903274567,151.33398070551365,Entire home/apt,800,3,1,2016-04-12,0.08,34,337
13569272,Private Pad in Paradise,23762163,Meike,,Pittwater,-33.661598343777094,151.31226555062784,Entire home/apt,90,1,28,2017-04-01,3.32,1,154
1051911,Treetopz,5791789,Trisha,,Pittwater,-33.64110787050649,151.31251794241246,Entire home/apt,250,4,4,2015-12-13,0.13,1,365
16125195,BEAUTIFUL  BILGOLA HIDEAWAY - SLEEPS 4,20193505,Jenny,,Pittwater,-33.64376305240036,151.30927360877376,Private room,100,2,3,2017-01-04,0.88,1,0
11799778,Avalon Peacock Cottage,26317843,Pennie,,Pittwater,-33.62235116106616,151.33475730918585,Entire home/apt,250,1,38,2017-02-26,3.06,1,362
14361652,Pittwater Bliss,23133139,Miranda,,Pittwater,-33.658913947050976,151.29728678955206,Entire home/apt,269,2,6,2017-03-11,0.97,1,362
7549109,Boathouse on the Waterfront,39562653,Dianne,,Pittwater,-33.619688215632145,151.31930284092422,Entire home/apt,450,1,5,2016-11-09,0.25,1,358
5907533,Whole house overlooking Pittwater.,26930147,Kathy,,Pittwater,-33.606528565304345,151.32430499562716,Entire home/apt,750,2,13,2016-12-21,0.73,1,31
8924649,Tranquil family beach house,46667543,Lucy,,Pittwater,-33.60352887608598,151.32919368872405,Entire home/apt,1000,2,18,2016-12-19,1.13,1,328
4662381,North Avalon beach. Pool and views,6631348,Nick,,Pittwater,-33.625125066505454,151.33661722239876,Entire home/apt,400,7,0,,,1,365
11538681,Beautiful spacious family home near the beach.,8542995,Rob & Cathy,,Pittwater,-33.69849395710375,151.29024506169054,Entire home/apt,220,3,0,,,1,0
7999743,"Island waterfront, North facing",42228595,Paul And Tracy,,Pittwater,-33.63490357486004,151.29160335114787,Private room,149,2,35,2017-03-25,1.85,3,359
5708475,Entertainer with pool near beach,29186700,Colin,,Pittwater,-33.64915872860495,151.31994269858208,Entire home/apt,600,3,2,2016-01-02,0.13,1,0
5118661,Driftwood Beach House,26453809,Kammi,,Pittwater,-33.67396566581312,151.31450038665656,Entire home/apt,1100,3,1,2017-01-03,0.33,1,104
15606947,Sunny 3 bedroom retreat,18352155,Jessica,,Pittwater,-33.702974002595326,151.28045650765807,Entire home/apt,250,7,0,,,1,84
15148233,Waterfront home in Pittwater,28197237,Rowena,,Pittwater,-33.627456711750625,151.287106361015,Entire home/apt,430,4,0,,,2,174
